context,question,answers,topic_lda,question_class,generated_answer,bert_f1
"In July 2009, Dell apologized after drawing the ire of the Taiwanese Consumer Protection Commission for twice refusing to honour a flood of orders against unusually low prices offered on its Taiwanese website. In the first instance, Dell offered a 19"" LCD panel for $15. In the second instance, Dell offered its Latitude E4300 notebook at NT$18,558 (US$580), 70% lower than usual price of NT$60,900 (US$1900). Concerning the E4300, rather than honour the discount taking a significant loss, the firm withdrew orders and offered a voucher of up to NT$20,000 (US$625) a customer in compensation. The consumer rights authorities in Taiwan fined Dell NT$1 million (US$31250) for customer rights infringements. Many consumers sued the firm for the unfair compensation. A court in southern Taiwan ordered the firm to deliver 18 laptops and 76 flat-panel monitors to 31 consumers for NT$490,000 (US$15,120), less than a third of the normal price. The court said the event could hardly be regarded as mistakes, as the prestigious firm said the company mispriced its products twice in Taiwanese website within 3 weeks.",What percent lower was Dell selling its notebooks in Taiwan?,70%,2,ENTY,20%,0.9901918768882751
"The diversion of heavier bombers to the Balkans meant that the crews and units left behind were asked to fly two or three sorties per night. Bombers were noisy, cold, and vibrated badly. Added to the tension of the mission which exhausted and drained crews, tiredness caught up with and killed many. In one incident on 28/29 April, Peter Stahl of KG 30 was flying on his 50th mission. He fell asleep at the controls of his Ju 88 and woke up to discover the entire crew asleep. He roused them, ensured they took oxygen and Dextro-Energen tablets, then completed the mission.",What did Peter's crew take to complete their mission?,oxygen and Dextro-Energen tablets,2,ENTY,"livestock, fruit trees, and vegetables",0.8255782127380371
"Executive power is vested, with exceptions and qualifications, in the President. By law (Section 2.) the president becomes the Commander in Chief of the Army and Navy, Militia of several states when called into service, has power to make treaties and appointments to office ""with the Advice and Consent of the Senate,"" receive Ambassadors and Public Ministers, and ""take care that the laws be faithfully executed"" (Section 3.) By using these words, the Constitution does not require the president to personally enforce the law; rather, officers subordinate to the president may perform such duties. The Constitution empowers the president to ensure the faithful execution of the laws made by Congress and approved by the President. Congress may itself terminate such appointments, by impeachment, and restrict the president. Bodies such as the War Claims Commission, the Interstate Commerce Commission and the Federal Trade Commission—all quasi-judicial—often have direct Congressional oversight.",Which of the three branches has the duty of Commander and Chief?,Executive,2,HUM,Executive,1.0000001192092896
"The cocoa industry was accused of profiting from child slavery and trafficking. The European Cocoa Association dismissed these accusations as ""false and excessive"" and the industry said the reports were not representative of all areas. Later the industry acknowledged the working conditions for children were unsatisfactory and children's rights were sometimes violated and acknowledged the claims could not be ignored. In a BBC interview, the ambassador for Ivory Coast to the United Kingdom called these reports of widespread use of slave child labour by 700,000 cocoa farmers as absurd and inaccurate.",Who claimed these reports as being inaccurate?,ambassador for Ivory Coast to the United Kingdom,2,HUM,U.S. GAO,0.8547061681747437
"The organizational structure as shown above is responsible for the peacetime organization, equipping, and training of aerospace units for operational missions. When required to support operational missions, the Secretary of Defense (SECDEF) directs the Secretary of the Air Force (SECAF) to execute a Change in Operational Control (CHOP) of these units from their administrative alignment to the operational command of a Regional Combatant Commander (CCDR). In the case of AFSPC, AFSOC, PACAF, and USAFE units, forces are normally employed in-place under their existing CCDR. Likewise, AMC forces operating in support roles retain their componency to USTRANSCOM unless chopped to a Regional CCDR.",Who is in charge of these Change in Operational Control missions? ,Regional Combatant Commander,2,HUM,Secretary of Defense (SECDEF),0.7986649870872498
"Donald Wills Douglas, Sr. built a plant in 1922 at Clover Field (Santa Monica Airport) for the Douglas Aircraft Company. In 1924, four Douglas-built planes took off from Clover Field to attempt the first aerial circumnavigation of the world. Two planes made it back, after having covered 27,553 miles (44,342 km) in 175 days, and were greeted on their return September 23, 1924, by a crowd of 200,000 (generously estimated). The Douglas Company (later McDonnell Douglas) kept facilities in the city until the 1960s.",Who built a plant in Clover field?,"Donald Wills Douglas, Sr",2,HUM,"Donald Wills Douglas, Sr.",0.9899659156799316
"Dell's manufacturing process covers assembly, software installation, functional testing (including ""burn-in""), and quality control. Throughout most of the company's history, Dell manufactured desktop machines in-house and contracted out manufacturing of base notebooks for configuration in-house. The company's approach has changed, as cited in the 2006 Annual Report, which states, ""We are continuing to expand our use of original design manufacturing partnerships and manufacturing outsourcing relationships."" The Wall Street Journal reported in September 2008 that ""Dell has approached contract computer manufacturers with offers to sell"" their plants. By the late 2000s, Dell's ""configure to order"" approach of manufacturing—delivering individual PCs configured to customer specifications from its US facilities was no longer as efficient or competitive with high-volume Asian contract manufacturers as PCs became powerful low-cost commodities.",What manufacturers was Dell losing to efficiency-wise?,Asian,2,HUM,Hewlett-Packard and Acer,0.7839780449867249
"During the oil boom of the 1970s, Nigeria joined OPEC and the huge revenue generated made the economy richer. Despite huge revenues from oil production and sale, the military administration did little to improve the standard of living of the population, help small and medium businesses, or invest in infrastructure. As oil revenues fuelled the rise of federal subventions to states, the federal government became the centre of political struggle and the threshold of power in the country. As oil production and revenue rose, the Nigerian government became increasingly dependent on oil revenues and the international commodity markets for budgetary and economic concerns. It did not develop other sources of the economy for economic stability. That spelled doom to federalism in Nigeria.",Which oil group did Nigeria join?,OPEC,2,HUM,OPEC,0.9999998211860657
"In January 2002, the U.S. sent more than 1,200 troops (later raised to 2,000) to assist the Armed Forces of the Philippines in combating terrorist groups linked to al-Qaida, such as Abu Sayyaf, under Operation Enduring Freedom - Philippines. Operations have taken place mostly in the Sulu Archipelago, where terrorists and other groups are active. The majority of troops provide logistics. However, there are special forces troops that are training and assisting in combat operations against the terrorist groups.",Where did anti-terrorist fighting take place?,the Sulu Archipelago,2,LOC,"Arkansas, Texas",0.8108050227165222
"The Premier League has the highest revenue of any football league in the world, with total club revenues of €2.48 billion in 2009–10. In 2013–14, due to improved television revenues and cost controls, the Premier League had net profits in excess of £78 million, exceeding all other football leagues. In 2010 the Premier League was awarded the Queen's Award for Enterprise in the International Trade category for its outstanding contribution to international trade and the value it brings to English football and the United Kingdom's broadcasting industry.",Which league has the highest revenue in the world?,Premier League,2,LOC,Premier League,1.0
"The Samoan government has called for deregulation of the financial sector, encouragement of investment, and continued fiscal discipline.[citation needed] Observers point to the flexibility of the labour market as a basic strength for future economic advances.[citation needed] The sector has been helped enormously by major capital investment in hotel infrastructure, political instability in neighbouring Pacific countries, and the 2005 launch of Virgin Samoa a joint-venture between the government and Virgin Australia (then Virgin Blue).",What infrastructure has benefited greatly from capital investment?,hotel infrastructure,2,LOC,Downtown Detroit,0.8479037880897522
"Silicon Alley, centered in Manhattan, has evolved into a metonym for the sphere encompassing the New York City metropolitan region's high technology industries involving the Internet, new media, telecommunications, digital media, software development, biotechnology, game design, financial technology (""fintech""), and other fields within information technology that are supported by its entrepreneurship ecosystem and venture capital investments. In the first half of 2015, Silicon Alley generated over US$3.7 billion in venture capital investment across a broad spectrum of high technology enterprises, most based in Manhattan, with others in Brooklyn, Queens, and elsewhere in the region. High technology startup companies and employment are growing in New York City and the region, bolstered by the city's position in North America as the leading Internet hub and telecommunications center, including its vicinity to several transatlantic fiber optic trunk lines, New York's intellectual capital, and its extensive outdoor wireless connectivity. Verizon Communications, headquartered at 140 West Street in Lower Manhattan, was at the final stages in 2014 of completing a US$3 billion fiberoptic telecommunications upgrade throughout New York City. As of 2014, New York City hosted 300,000 employees in the tech sector.",In what borough is Silicon Alley located?,Manhattan,2,LOC,Manhattan,0.9999997615814209
"The economy relies heavily on investment and support from Armenians abroad. Before independence, Armenia's economy was largely industry-based – chemicals, electronics, machinery, processed food, synthetic rubber, and textile – and highly dependent on outside resources. The republic had developed a modern industrial sector, supplying machine tools, textiles, and other manufactured goods to sister republics in exchange for raw materials and energy. Recently, the Intel Corporation agreed to open a research center in Armenia, in addition to other technology companies, signalling the growth of the technology industry in Armenia.",The Arnmenian economy depends primarily on what?,investment and support from Armenians abroad,2,LOC,Petroleum,0.8294754028320312
"(The Ms 6.1 earthquake on August 30, 2008 in southern Sichuan was not part of this series because it was caused by a different fault. See 2008 Panzhihua earthquake for details.)",Where did this earthquake occur?,southern Sichuan,2,LOC,Wenchuan County,0.8455461859703064
"From 2004 to 2007, the top five U.S. investment banks each significantly increased their financial leverage (see diagram), which increased their vulnerability to a financial shock. Changes in capital requirements, intended to keep U.S. banks competitive with their European counterparts, allowed lower risk weightings for AAA securities. The shift from first-loss tranches to AAA tranches was seen by regulators as a risk reduction that compensated the higher leverage. These five institutions reported over $4.1 trillion in debt for fiscal year 2007, about 30% of USA nominal GDP for 2007. Lehman Brothers went bankrupt and was liquidated, Bear Stearns and Merrill Lynch were sold at fire-sale prices, and Goldman Sachs and Morgan Stanley became commercial banks, subjecting themselves to more stringent regulation. With the exception of Lehman, these companies required or received government support. Lehman reported that it had been in talks with Bank of America and Barclays for the company's possible sale. However, both Barclays and Bank of America ultimately declined to purchase the entire company.",How many U.S. investment banks significantly increased their financial leverage from 2004 to 2007?,five,2,NUM,Five,0.9997978210449219
"Many factors played a role in Britain’s long-term economic growth, such as the industrial revolution in the late 1700s and the prominent presence of child labour during the industrial age. Children who worked at an early age were often not forced; but did so because they needed to help their family survive financially. Due to poor employment opportunities for many parents, sending their children to work on farms and in factories was a way to help feed and support the family. Child Labour first started to occur in England when household businesses were turned into local labour markets that mass-produced the once homemade goods. Because children often helped produce the goods out of their homes, working in a factory to make those same goods was a simple change for many of these youths. Although there are many counts of children under the age of ten working for factories, the majority of children workers were between the ages of ten and fourteen. This age range was an important time for many youths as they were first helping to provide for their families; while also transitioning to save for their own future families.",How were the work oppurtunies for parents during this time period?,poor,2,NUM,Limited,0.9499585628509521
"Development of a solar-powered car has been an engineering goal since the 1980s. The World Solar Challenge is a biannual solar-powered car race, where teams from universities and enterprises compete over 3,021 kilometres (1,877 mi) across central Australia from Darwin to Adelaide. In 1987, when it was founded, the winner's average speed was 67 kilometres per hour (42 mph) and by 2007 the winner's average speed had improved to 90.87 kilometres per hour (56.46 mph). The North American Solar Challenge and the planned South African Solar Challenge are comparable competitions that reflect an international interest in the engineering and development of solar powered vehicles.",What was the average speed of a winning solar powered car in 1987?,67 kilometres per hour (42 mph),2,NUM,67 kilometres per hour,0.9021292328834534
"Congress often enacts statutes that grant broad rulemaking authority to federal agencies. Often, Congress is simply too gridlocked to draft detailed statutes that explain how the agency should react to every possible situation, or Congress believes the agency's technical specialists are best equipped to deal with particular fact situations as they arise. Therefore, federal agencies are authorized to promulgate regulations. Under the principle of Chevron deference, regulations normally carry the force of law as long as they are based on a reasonable interpretation of the relevant statutes.",Regualtions carry force of law when based on reasonable interpretation of what?,relevant statutes,2,NUM,Statutes,0.8845329284667969
"GE (General Electric) Energy's renewable energy business has expanded greatly, to keep up with growing U.S. and global demand for clean energy. Since entering the renewable energy industry in 2002, GE has invested more than $850 million in renewable energy commercialization. In August 2008 it acquired Kelman Ltd, a Northern Ireland company specializing in advanced monitoring and diagnostics technologies for transformers used in renewable energy generation, and announced an expansion of its business in Northern Ireland in May 2010. In 2009, GE's renewable energy initiatives, which include solar power, wind power and GE Jenbacher gas engines using renewable and non-renewable methane-based gases, employ more than 4,900 people globally and have created more than 10,000 supporting jobs.","As of 2009, how many people did GE employ in its renewable energy initiatives?","more than 4,900",2,NUM,"4,900 people",0.9028165936470032
"During this critical period, the number of Preachers seems never to have sunk below 3,500. Statistics for 1876 show 3,748, but 500 of these had been expelled from their convents and were engaged in parochial work. Statistics for 1910 show a total of 4,472 nominally or actually engaged in proper activities of the order. In the year 2000, there were 5,171 Dominican friars in solemn vows, 917 student brothers, and 237 novices. By the year 2013 there were 6058 Dominican friars, including 4,470 priests.",How many Dominican friars were there in 2013?,6058,2,NUM,6058,0.9999999403953552
"Many of the area's prominent museums are located in the historic cultural center neighborhood around Wayne State University and the College for Creative Studies. These museums include the Detroit Institute of Arts, the Detroit Historical Museum, Charles H. Wright Museum of African American History, the Detroit Science Center, as well as the main branch of the Detroit Public Library. Other cultural highlights include Motown Historical Museum, the Ford Piquette Avenue Plant museum (birthplace of the Ford Model T and the world's oldest car factory building open to the public), the Pewabic Pottery studio and school, the Tuskegee Airmen Museum, Fort Wayne, the Dossin Great Lakes Museum, the Museum of Contemporary Art Detroit (MOCAD), the Contemporary Art Institute of Detroit (CAID), and the Belle Isle Conservatory.",What does CAID stand for?,Contemporary Art Institute of Detroit,3,ABBR,Centre for the Study of Ancient Documents,0.7950997948646545
"Many of the area's prominent museums are located in the historic cultural center neighborhood around Wayne State University and the College for Creative Studies. These museums include the Detroit Institute of Arts, the Detroit Historical Museum, Charles H. Wright Museum of African American History, the Detroit Science Center, as well as the main branch of the Detroit Public Library. Other cultural highlights include Motown Historical Museum, the Ford Piquette Avenue Plant museum (birthplace of the Ford Model T and the world's oldest car factory building open to the public), the Pewabic Pottery studio and school, the Tuskegee Airmen Museum, Fort Wayne, the Dossin Great Lakes Museum, the Museum of Contemporary Art Detroit (MOCAD), the Contemporary Art Institute of Detroit (CAID), and the Belle Isle Conservatory.",What does MOCAD stand for?,Museum of Contemporary Art Detroit,3,ABBR,No information provided.,0.7895939350128174
"The Royal Institute of British Architects (RIBA) is a professional body for architects primarily in the United Kingdom, but also internationally, founded for the advancement of architecture under its charter granted in 1837 and Supplemental Charter granted in 1971.",What does RIBA stand for?,Royal Institute of British Architects,3,ABBR,Royal Institute of British Architects,0.9999998211860657
"As an important railroad and road junction and production center, Hanover was a major target for strategic bombing during World War II, including the Oil Campaign. Targets included the AFA (Stöcken), the Deurag-Nerag refinery (Misburg), the Continental plants (Vahrenwald and Limmer), the United light metal works (VLW) in Ricklingen and Laatzen (today Hanover fairground), the Hanover/Limmer rubber reclamation plant, the Hanomag factory (Linden) and the tank factory M.N.H. Maschinenfabrik Niedersachsen (Badenstedt). Forced labourers were sometimes used from the Hannover-Misburg subcamp of the Neuengamme concentration camp. Residential areas were also targeted, and more than 6,000 civilians were killed by the Allied bombing raids. More than 90% of the city center was destroyed in a total of 88 bombing raids. After the war, the Aegidienkirche was not rebuilt and its ruins were left as a war memorial.",What does VLW stand for?,United light metal works,3,ABBR,Video Long-Play,0.8336899280548096
"Notre Dame teams are known as the Fighting Irish. They compete as a member of the National Collegiate Athletic Association (NCAA) Division I, primarily competing in the Atlantic Coast Conference (ACC) for all sports since the 2013–14 school year. The Fighting Irish previously competed in the Horizon League from 1982-83 to 1985-86, and again from 1987-88 to 1994-95, and then in the Big East Conference through 2012–13. Men's sports include baseball, basketball, crew, cross country, fencing, football, golf, ice hockey, lacrosse, soccer, swimming & diving, tennis and track & field; while women's sports include basketball, cross country, fencing, golf, lacrosse, rowing, soccer, softball, swimming & diving, tennis, track & field and volleyball. The football team competes as an Football Bowl Subdivision (FBS) Independent since its inception in 1887. Both fencing teams compete in the Midwest Fencing Conference, and the men's ice hockey team competes in Hockey East.",What does the acronym NCAA stand for?,National Collegiate Athletic Association,3,ABBR,National Collegiate Athletic Association,1.0000001192092896
"Investitures, which include the conferring of knighthoods by dubbing with a sword, and other awards take place in the palace's Ballroom, built in 1854. At 36.6 m (120 ft) long, 18 m (59 ft) wide and 13.5 m (44 ft) high, it is the largest room in the palace. It has replaced the throne room in importance and use. During investitures, the Queen stands on the throne dais beneath a giant, domed velvet canopy, known as a shamiana or a baldachin, that was used at the Delhi Durbar in 1911. A military band plays in the musicians' gallery as award recipients approach the Queen and receive their honours, watched by their families and friends.",What does the Queen stand on during Investitures?,the throne dais,3,ABBR,throne dais,0.9198386669158936
"A large indoor shopping centre Hoog Catharijne (nl) is located between Utrecht Centraal railway station and the city centre. The corridors are treated as public places like streets, and the route between the station and the city centre is open all night. In 20 years from 2004, parts of Hoog Catharijne will be redeveloped as part of the renovation of the larger station area. Parts of the city's network of canals, which were filled to create the shopping center and central station area, will be recreated. The Jaarbeurs, one of the largest convention centres in the Netherlands, is located at the west side of the central railway station.",What is being recreated ,"Parts of the city's network of canals, which were filled to create the shopping center and central station area, will be recreated",3,DESC,Corona,0.7968372106552124
"Exhibitions and annual horse shows in all districts and a national horse and cattle show at Lahore are held with the official patronage. The national horse and cattle show at Lahore is the biggest festival where sports, exhibitions, and livestock competitions are held. It not only encourages and patronises agricultural products and livestock through the exhibitions of agricultural products and cattle but is also a colourful documentary on the rich cultural heritage of the province with its strong rural roots.",What is Punjab's biggest festival?,The national horse and cattle show,3,DESC,Baisakhi,0.7749260663986206
"The Bronx's highest elevation at 280 feet (85 m) is in the northwest corner, west of Van Cortlandt Park and in the Chapel Farm area near the Riverdale Country School. The opposite (southeastern) side of the Bronx has four large low peninsulas or ""necks"" of low-lying land that jut into the waters of the East River and were once salt marsh: Hunt's Point, Clason's Point, Screvin's Neck and Throg's Neck. Further up the coastline, Rodman's Neck lies between Pelham Bay Park in the northeast and City Island. The Bronx's irregular shoreline extends for 75 square miles (194 km2).",What are the Bronx's four low peninsulas?,"Hunt's Point, Clason's Point, Screvin's Neck and Throg's Neck",3,DESC,"Hunts Point, Clason's Point, Screvin's Neck, Throgs Neck",0.9762105941772461
"Downtown New Haven, occupied by nearly 7,000 residents, has a more residential character than most downtowns. The downtown area provides about half of the city's jobs and half of its tax base and in recent years has become filled with dozens of new upscale restaurants, several of which have garnered national praise (such as Ibiza, recognized by Esquire and Wine Spectator magazines as well as the New York Times as the best Spanish food in the country), in addition to shops and thousands of apartments and condominium units which subsequently help overall growth of the city.",In terms of economy the downtown portion is responsible for what?,half of the city's jobs,3,DESC,Private investment and public works projects,0.8599865436553955
"The American bison is a large bovid which inhabited much of western North America prior to the 1800s, living on the prairies in large herds. However, the vast herds of bison attracted market hunters, who killed dozens of bison for their hides only, leaving the rest to rot. Thousands of these hunters quickly eliminated the bison herds, bringing the population from several million in the early 1800s to a few hundred by the 1880s. Conservation efforts have allowed the population to increase, but the bison remains near-threatened.",Why were the bison killed?,for their hides,3,DESC,To deprive Native people of food.,0.8442525267601013
"Located in Jacksonville, Marine Corps Base Camp Lejeune, combined with nearby bases Marine Corps Air Station (MCAS) Cherry Point, MCAS New River, Camp Geiger, Camp Johnson, Stone Bay and Courthouse Bay, makes up the largest concentration of Marines and sailors in the world. MCAS Cherry Point is home of the 2nd Marine Aircraft Wing. Located in Goldsboro, Seymour Johnson Air Force Base is home of the 4th Fighter Wing and 916th Air Refueling Wing. One of the busiest air stations in the United States Coast Guard is located at the Coast Guard Air Station in Elizabeth City. Also stationed in North Carolina is the Military Ocean Terminal Sunny Point in Southport.",What is Camp Lejeune?,Marine Corps Base Camp,3,DESC,Marine Corps Base,0.9667758941650391
"New York grew in importance as a trading port while under British rule in the early 1700s. It also became a center of slavery, with 42% of households holding slaves by 1730, more than any other city other than Charleston, South Carolina. Most slaveholders held a few or several domestic slaves, but others hired them out to work at labor. Slavery became integrally tied to New York's economy through the labor of slaves throughout the port, and the banks and shipping tied to the South. Discovery of the African Burying Ground in the 1990s, during construction of a new federal courthouse near Foley Square, revealed that tens of thousands of Africans had been buried in the area in the colonial years.",What was being built that resulted in the discovery of the African Burial Ground?,courthouse,3,ENTY,Federal office building,0.8498058915138245
"If there are differences within a growth ring, then the part of a growth ring nearest the center of the tree, and formed early in the growing season when growth is rapid, is usually composed of wider elements. It is usually lighter in color than that near the outer portion of the ring, and is known as earlywood or springwood. The outer portion formed later in the season is then known as the latewood or summerwood. However, there are major differences, depending on the kind of wood (see below).","If the opposite of springwood is summerwood, what's the opposite of earlywood?",latewood,3,ENTY,Latewood,0.9996034502983093
"As of 2015, the government structure of the New Delhi Municipal Council includes a chairperson, three members of New Delhi's Legislative Assembly, two members nominated by the Chief Minister of the NCT of Delhi and five members nominated by the central government.",What is the name of the government structure created for New Delhi that is comprised of ten representatives?,New Delhi Municipal Council,3,ENTY,New Delhi Municipal Council,1.0
"Managers in the Premier League are involved in the day-to-day running of the team, including the training, team selection, and player acquisition. Their influence varies from club-to-club and is related to the ownership of the club and the relationship of the manager with fans. Managers are required to have a UEFA Pro Licence which is the final coaching qualification available, and follows the completion of the UEFA 'B' and 'A' Licences. The UEFA Pro Licence is required by every person who wishes to manage a club in the Premier League on a permanent basis (i.e. more than 12 weeks – the amount of time an unqualified caretaker manager is allowed to take control). Caretaker appointments are managers that fill the gap between a managerial departure and a new appointment. Several caretaker managers have gone on to secure a permanent managerial post after performing well as a caretaker; examples include Paul Hart at Portsmouth and David Pleat at Tottenham Hotspur.",What type of licence does a manager need?,Managers are required to have a UEFA Pro Licence,3,ENTY,UEFA Pro Licence,0.8683897852897644
"In Greece Carnival is also known as the Apokriés (Greek: Αποκριές, ""saying goodbye to meat""), or the season of the ""Opening of the Triodion"", so named after the liturgical book used by the church from then until Holy Week. One of the season's high points is Tsiknopempti, when celebrants enjoy roast beef dinners; the ritual is repeated the following Sunday. The following week, the last before Lent, is called Tyrinē (Greek: Τυρινή, ""cheese [week]"") because meat is forbidden, although dairy products are not. Lent begins on ""Clean Monday"", the day after ""Cheese Sunday"". Throughout the Carnival season, people disguise themselves as maskarádes (""masqueraders"") and engage in pranks and revelry.",What is the Greece Carnival also called?,the Apokriés,3,ENTY,Apokries,0.8640599846839905
"The National Autonomous University of Mexico (UNAM), located in Mexico City, is the largest university on the continent, with more than 300,000 students from all backgrounds. Three Nobel laureates, several Mexican entrepreneurs and most of Mexico's modern-day presidents are among its former students. UNAM conducts 50% of Mexico's scientific research and has presence all across the country with satellite campuses, observatories and research centres. UNAM ranked 74th in the Top 200 World University Ranking published by Times Higher Education (then called Times Higher Education Supplement) in 2006, making it the highest ranked Spanish-speaking university in the world. The sprawling main campus of the university, known as Ciudad Universitaria, was named a World Heritage Site by UNESCO in 2007.",What worldwide ranking does UNAM hold?,74th,3,ENTY,74th,1.0
"At the close of the 1991 season, a proposal was tabled for the establishment of a new league that would bring more money into the game overall. The Founder Members Agreement, signed on 17 July 1991 by the game's top-flight clubs, established the basic principles for setting up the FA Premier League. The newly formed top division would have commercial independence from The Football Association and the Football League, giving the FA Premier League licence to negotiate its own broadcast and sponsorship agreements. The argument given at the time was that the extra income would allow English clubs to compete with teams across Europe.","In 1991, was a proposal for a new league postponed?","At the close of the 1991 season, a proposal was tabled",3,HUM,No,0.8143728971481323
"Beginning in the tenth season[citation needed], permanent mentors were brought in during the live shows to help guide the contestants with their song choice and performance. Jimmy Iovine was the mentor in the tenth through twelfth seasons, former judge Randy Jackson was the mentor for the thirteenth season and Scott Borchetta was the mentor for the fourteenth and fifteenth season. The mentors regularly bring in guest mentors to aid them, including Akon, Alicia Keys, Lady Gaga, and current judge Harry Connick, Jr..",Who was the mentor for seasons 10 - 12?,Jimmy Iovine,3,HUM,Jimmy Iovine,0.9999999403953552
"Plymouth also has 71 state primary phase schools, 13 state secondary schools, eight special schools and three selective state grammar schools, Devonport High School for Girls, Devonport High School for Boys and Plymouth High School for Girls. There is also an independent school Plymouth College.","Aside from Plymouth High School for Girls and Devonport High School for Boys, what state grammar school is present in Plymouth?",Devonport High School for Girls,3,HUM,Devonport High School for Girls,1.0
"Many of Yale's buildings were constructed in the Collegiate Gothic architecture style from 1917 to 1931, financed largely by Edward S. Harkness Stone sculpture built into the walls of the buildings portray contemporary college personalities such as a writer, an athlete, a tea-drinking socialite, and a student who has fallen asleep while reading. Similarly, the decorative friezes on the buildings depict contemporary scenes such as policemen chasing a robber and arresting a prostitute (on the wall of the Law School), or a student relaxing with a mug of beer and a cigarette. The architect, James Gamble Rogers, faux-aged these buildings by splashing the walls with acid, deliberately breaking their leaded glass windows and repairing them in the style of the Middle Ages, and creating niches for decorative statuary but leaving them empty to simulate loss or theft over the ages. In fact, the buildings merely simulate Middle Ages architecture, for though they appear to be constructed of solid stone blocks in the authentic manner, most actually have steel framing as was commonly used in 1930. One exception is Harkness Tower, 216 feet (66 m) tall, which was originally a free-standing stone structure. It was reinforced in 1964 to allow the installation of the Yale Memorial Carillon.",Who financed a large chunk of the architecture from 1917 to 1931,Edward S. Harkness,3,HUM,middle and working classes,0.7875991463661194
"In 1795, North Carolina opened the first public university in the United States—the University of North Carolina (now named the University of North Carolina at Chapel Hill). More than 200 years later, the University of North Carolina system encompasses 17 public universities including North Carolina State University, North Carolina A&T State University, North Carolina Central University, the University of North Carolina at Chapel Hill, the University of North Carolina at Greensboro, East Carolina University, Western Carolina University, Winston-Salem State University, the University of North Carolina at Asheville, the University of North Carolina at Charlotte, the University of North Carolina at Pembroke, UNC Wilmington, Elizabeth City State University, Appalachian State University, Fayetteville State University, and UNC School of the Arts, and . Along with its public universities, North Carolina has 58 public community colleges in its community college system.The largest university in North Carolina is currently North Carolina State University, with more than 34,000 students. North Carolina is home to many excellent universities as well as dozens of community colleges and private universities.",What was the name of the first public university to open in the US?,University of North Carolina,3,HUM,University of North Carolina,1.0
"Turner Classic Movies also airs regularly scheduled weekly film blocks, which are periodically preempted for special themed month-long or seasonal scheduling events, such as the ""31 Days of Oscar"" film series in the month preceding the Academy Awards and the month-long ""Summer Under the Stars"" in August; all featured programming has their own distinctive feature presentation bumper for the particular scheduled presentation. The Essentials, currently hosted by Osborne and Sally Field as of 2015[update], is a weekly film showcase airing on Saturday evenings (with a replay on the following Sunday at 6:00 p.m. Eastern Time), which spotlights a different movie and contains a special introduction and post-movie discussion.","As of 2015, who hosted The Essentials along with Robert Osborne?",Sally Field,3,HUM,Sally Field,0.9999999403953552
"Uniquely among major American cities, New York is divided between, and is host to the main branches of, two different US district courts: the District Court for the Southern District of New York, whose main courthouse is on Foley Square near City Hall in Manhattan and whose jurisdiction includes Manhattan and the Bronx, and the District Court for the Eastern District of New York, whose main courthouse is in Brooklyn and whose jurisdiction includes Brooklyn, Queens, and Staten Island. The US Court of Appeals for the Second Circuit and US Court of International Trade are also based in New York, also on Foley Square in Manhattan.",What square is home to the US Court of International Trade?,Foley Square,3,LOC,Foley Square,1.0
"After Fidel Castro rose to power in Cuba in 1959, many wealthy Cubans sought refuge in Miami, further increasing the population. The city developed businesses and cultural amenities as part of the New South. In the 1980s and 1990s, South Florida weathered social problems related to drug wars, immigration from Haiti and Latin America, and the widespread destruction of Hurricane Andrew. Racial and cultural tensions were sometimes sparked, but the city developed in the latter half of the 20th century as a major international, financial, and cultural center. It is the second-largest U.S. city (after El Paso, Texas) with a Spanish-speaking majority, and the largest city with a Cuban-American plurality.",Miami is the US city with the largest population of what ethnic group?,Cuban-American,3,LOC,Hispanic,0.8506820201873779
"Other notable places include Elizabeth Fort, the Cork Opera House, Christ Church on South Main Street (now the Triskel Arts Centre and original site of early Hiberno-Norse church), St Mary's Dominican Church on Popes Quay and Fitzgerald's Park to the west of the city, which contains the Cork Public Museum. Other popular tourist attractions include the grounds of University College Cork, through which the River Lee flows, the Women's Gaol at Sundays Well (now a heritage centre) and the English Market. This covered market traces its origins back to 1610, and the present building dates from 1786.",Where is the Cork Public Museum?,Fitzgerald's Park,3,LOC,Fitzgerald's Park,1.0
"College sports are also popular in North Carolina, with 18 schools competing at the Division I level. The Atlantic Coast Conference (ACC) is headquartered in Greensboro, and both the ACC Football Championship Game (Charlotte) and the ACC Men's Basketball Tournament (Greensboro) were most recently held in North Carolina. College basketball in particular is very popular, buoyed by the Tobacco Road rivalries between Duke, North Carolina, North Carolina State, and Wake Forest. The ACC Championship Game and The Belk Bowl are held annually in Charlotte's Bank of America Stadium, featuring teams from the ACC and the Southeastern Conference. Additionally, the state has hosted the NCAA Men's Basketball Final Four on two occasions, in Greensboro in 1974 and in Charlotte in 1994.",Where is the ACC headquarters?,Greensboro,3,LOC,Greensboro,1.0000001192092896
